question,answer,qA
"#Q On 6 August 1945 the B-29 Enolo Gay, piloted by Colonel Paul Tibet, dropped an atomic bomb on Hiroshima, effectively destroying it. What was that bomb called?
",Little Boy,"['#Q On 6 August 1945 the B-29 Enolo Gay, piloted by Colonel Paul Tibet, dropped an atomic bomb on Hiroshima, effectively destroying it. What was that bomb called?\n'
 '^ Little Boy\n' 'A August Storm\n' 'B Flying Tiger\n' 'C Little Boy\n'
 'D Torch\n']"
"#Q What term is generally used to describe the genocide of approximately six million European Jews during World War II?
",the Holocaust,"['#Q What term is generally used to describe the genocide of approximately six million European Jews during World War II?\n'
 '^ the Holocaust\n' 'A Einsatzgruppen\n' 'B the Holocaust\n'
 'C the Enigma\n' 'D Death-camp\n']"
"#Q According to statistics, approximately how many people lost their lives in World War II?
",62 million,"['#Q According to statistics, approximately how many people lost their lives in World War II?\n'
 '^ 62 million\n' 'A 52 million\n' 'B 42 million\n' 'C 72 million\n'
 'D 62 million\n']"
"#Q One of the months of the year is named after this man.
",Julius Caesar,"['#Q One of the months of the year is named after this man.\n'
 '^ Julius Caesar\n' 'A Neither\n' 'B Both\n' 'C Alexander the Great\n'
 'D Julius Caesar\n']"
"#Q This man became the leader of his country at the age of 20.
",Alexander the Great,"['#Q This man became the leader of his country at the age of 20.\n'
 '^ Alexander the Great\n' 'A Julius Caesar\n' 'B Neither\n'
 'C Alexander the Great\n' 'D Both\n']"
"#Q This man is famous for the quote, I came, I saw, I conquered.
",Julius Caesar,"['#Q This man is famous for the quote, I came, I saw, I conquered.\n'
 '^ Julius Caesar\n' 'A Neither\n' 'B Julius Caesar\n'
 'C Alexander the Great\n' 'D Both\n']"
"#Q This man conquered modern day Afghanistan and modern day France.
",Neither,"['#Q This man conquered modern day Afghanistan and modern day France.\n'
 '^ Neither\n' 'A Julius Caesar\n' 'B Both\n' 'C Alexander the Great\n'
 'D Neither\n']"
"#Q This man won battles in Greece, Africa, and the Middle East.
",Both,"['#Q This man won battles in Greece, Africa, and the Middle East.\n'
 '^ Both\n' 'A Alexander the Great\n' 'B Neither\n' 'C Both\n'
 'D Julius Caesar\n']"
"#Q This man invaded modern day Great Britain.
",Julius Caesar,"['#Q This man invaded modern day Great Britain.\n' '^ Julius Caesar\n'
 'A Julius Caesar\n' 'B Alexander the Great\n' 'C Neither\n' 'D Both\n']"
"#Q This mans name is linked to a common medical procedure.
",Julius Caesar,"['#Q This mans name is linked to a common medical procedure.\n'
 '^ Julius Caesar\n' 'A Neither\n' 'B Julius Caesar\n' 'C Both\n'
 'D Alexander the Great\n']"
"#Q This mans biological son became famous after his death.
",Neither,"['#Q This mans biological son became famous after his death.\n'
 '^ Neither\n' 'A Both\n' 'B Julius Caesar\n' 'C Neither\n'
 'D Alexander the Great\n']"
"#Q This man visited the other mans tomb.
",Julius Caesar,"['#Q This man visited the other mans tomb.\n' '^ Julius Caesar\n'
 'A Alexander the Great\n' 'B Neither\n' 'C Both\n' 'D Julius Caesar\n']"
"#Q This man was portrayed by British actor Rex Harrison in the1963 movie Cleopatra.
",Julius Caesar,"['#Q This man was portrayed by British actor Rex Harrison in the1963 movie Cleopatra.\n'
 '^ Julius Caesar\n' 'A Alexander the Great\n' 'B Both\n'
 'C Julius Caesar\n' 'D Neither\n']"
"#Q What warrior king and his 300 Spartans held back the Persian army for two days in one of historys most heroic last stands?
",Leonidas,"['#Q What warrior king and his 300 Spartans held back the Persian army for two days in one of historys most heroic last stands?\n'
 '^ Leonidas\n' 'A Odysseus\n' 'B Achilles\n' 'C Leonidas\n' 'D Xerxes\n']"
"#Q What Chinese warrior and strategist wrote The Art of War?
",Sun Tzu,"['#Q What Chinese warrior and strategist wrote The Art of War?\n'
 '^ Sun Tzu\n' 'A Sun Bin\n' 'B Sun Tzu\n' 'C Mao Zedong\n'
 'D Genghis Khan\n']"
"#Q It was in a dream before the Battle of Milvian Bridge that a vision of God appeared to this Roman warrior. The vision was followed by the words In this sign shall thou conquer.  What leader, after having a Christian monograph painted on the shields of his army, defeated Maxentius and reunited the Eastern and Western Roman Empire?
",Constantine the Great,"['#Q It was in a dream before the Battle of Milvian Bridge that a vision of God appeared to this Roman warrior. The vision was followed by the words In this sign shall thou conquer.  What leader, after having a Christian monograph painted on the shields of his army, defeated Maxentius and reunited the Eastern and Western Roman Empire?\n'
 '^ Constantine the Great\n' 'A Constantine the Great\n'
 'B Marcus Aurelius\n' 'C Alexander the Great\n' 'D Emperor Licinius\n']"
"#Q What Soviet General and Hero of the Soviet Union led the Red Army during the Battle of Stalingrad and the Battle of Kursk?
",Marshal Georgy Zhukov,"['#Q What Soviet General and Hero of the Soviet Union led the Red Army during the Battle of Stalingrad and the Battle of Kursk?\n'
 '^ Marshal Georgy Zhukov\n' 'A Vasliy Blyukher\n'
 'B Field Marshall Von Manstein\n' 'C Walther Model\n'
 'D Marshal Georgy Zhukov\n']"
"#Q One of historys most daring and able naval commanders, this admiral signaled his fleet at the Battle of Trafalgar by a flag that read England expects that every man will do his duty . What naval commander gave the supreme sacrifice at the Battle of Trafalgar while defeating the navies of the French and Spanish?
",Horatio Nelson,"['#Q One of historys most daring and able naval commanders, this admiral signaled his fleet at the Battle of Trafalgar by a flag that read England expects that every man will do his duty . What naval commander gave the supreme sacrifice at the Battle of Trafalgar while defeating the navies of the French and Spanish?\n'
 '^ Horatio Nelson\n' 'A Horatio Nelson\n'
 'B Arthur Wellesley, Duke of Wellington\n' 'C John Paul Jones\n'
 'D James Wolfe\n']"
"#Q He was the bravest and strongest Greek warrior in the Trojan War. He died when Apollo helped guide Pariss arrow to this warrior only vulnerable spot?
",Achilles,"['#Q He was the bravest and strongest Greek warrior in the Trojan War. He died when Apollo helped guide Pariss arrow to this warrior only vulnerable spot?\n'
 '^ Achilles\n' 'A Patroclus\n' 'B Agamemnon\n' 'C Hector\n'
 'D Achilles\n']"
"#Q Stormd at with shot and shell,
","Boldly they rode and well,","['#Q Stormd at with shot and shell,\n' 'Boldly they rode and well, \n'
 'Into the jaws of Death,\n' 'Into the mouth of Hell\n'
 'Rode the six hundred.\n'
 'The verse is taken from Alfred, Lord Tennysons The Charge of the Light Brigade. The poem\n']"
"#Q Perhaps the greatest  warrior-king in Roman history, what warrior summed up his victory in these three words, Veni, Vidi, Vici. ?
",Julius Caesar,"['#Q Perhaps the greatest  warrior-king in Roman history, what warrior summed up his victory in these three words, Veni, Vidi, Vici. ?\n'
 '^ Julius Caesar\n' 'A Julius Caesar\n' 'B Mark Anthony\n'
 'C Marcus Aurelius\n' 'D Octavian\n']"
"#Q The US, Britain and Germany were the main belligerents at Normandy during WWII, but three other nations had troops there who fought in their own organized national units. Which of the following was NOT one of those three nations?
",Japan,"['#Q The US, Britain and Germany were the main belligerents at Normandy during WWII, but three other nations had troops there who fought in their own organized national units. Which of the following was NOT one of those three nations?\n'
 '^ Japan\n' 'A Canada\n' 'B Poland\n' 'C Japan\n' 'D France\n']"
"#Q Mulberry was the code name for two artificial harbors built in sections and towed across the English Channel to provide a place for supplies to be landed at Normandy for the invading troops. They were very useful at first but their usefulness was greatly reduced after about two weeks when the following occurred.
",A violent storm heavily damaged the Mulberries.,"['#Q Mulberry was the code name for two artificial harbors built in sections and towed across the English Channel to provide a place for supplies to be landed at Normandy for the invading troops. They were very useful at first but their usefulness was greatly reduced after about two weeks when the following occurred.\n'
 '^ A violent storm heavily damaged the Mulberries.\n'
 'A The Allies captured the port at Brest and no longer needed the Mulberries.\n'
 'B A violent storm heavily damaged the Mulberries.\n'
 'C The wear and tear of constant use made the Mulberries deteriorate greatly.\n'
 'D The German air force successfully staged a massive bombing raid on the Mulberries.\n']"
"#Q To aid the Normandy invasion Stalin, the Soviet leader, agreed to do the following.
",Launch an attack on the eastern front to keep the Germans from moving troops from the East to the western front,"['#Q To aid the Normandy invasion Stalin, the Soviet leader, agreed to do the following.\n'
 '^ Launch an attack on the eastern front to keep the Germans from moving troops from the East to the western front\n'
 'A Have his air force carry out numerous air attacks on targets in Germany during the Normandy invasion\n'
 'B Send Soviet troops to Britain to act as a reserve if needed\n'
 'C Launch an attack on the eastern front to keep the Germans from moving troops from the East to the western front\n'
 'D Release all prisoners from East European nations who wished to join the Allies at Normandy\n']"
"#Q During WWII, American troops assaulted two beaches at Normandy. Three other beaches with code names Gold, Sword and Juno were assaulted by troops who mostly came from these two nations.
",Britain and Canada,"['#Q During WWII, American troops assaulted two beaches at Normandy. Three other beaches with code names Gold, Sword and Juno were assaulted by troops who mostly came from these two nations.\n'
 '^ Britain and Canada\n' 'A France and Poland\n' 'B Britain and France\n'
 'C Britain and Canada\n' 'D Britain and Australia\n']"
"#Q Which American Indian tribe was predominantly located in North Georgia?
",Cherokee,"['#Q Which American Indian tribe was predominantly located in North Georgia?\n'
 '^ Cherokee\n' 'A Iroquois\n' 'B Creek\n' 'C Cherokee\n' 'D Seminal\n']"
"#Q Which U.S. state saw the bloodiest fighting of the Civil War?
",Virginia,"['#Q Which U.S. state saw the bloodiest fighting of the Civil War?\n'
 '^ Virginia\n' 'A Georgia\n' 'B Tennessee\n' 'C Virginia\n'
 'D Maryland\n']"
"#Q From 1847 to 1923, there were eight U. S. Presidents hailing from this state.
",Ohio,"['#Q From 1847 to 1923, there were eight U. S. Presidents hailing from this state.\n'
 '^ Ohio\n' 'A Virginia\n' 'B Ohio\n' 'C New York\n' 'D Maryland\n']"
"#Q Benjamin Franklin was almost killed by electrocution.
",True,"['#Q Benjamin Franklin was almost killed by electrocution.\n' '^ True\n'
 'A False\n' 'B True\n' '\n'
 '#Q Which German-American physicist is credited for advising U.S. President Franklin Roosevelt to start the development of an atomic bomb?\n']"
"#Q Which German-American physicist is credited for advising U.S. President Franklin Roosevelt to start the development of an atomic bomb?
",Albert Einstein,"['#Q Which German-American physicist is credited for advising U.S. President Franklin Roosevelt to start the development of an atomic bomb?\n'
 '^ Albert Einstein\n' 'A Albert Einstein\n' 'B Benjamin Franklin\n'
 'C Osborne Reynolds\n' 'D William Gilbert\n']"
"#Q The American Flag was raised on Mount Surabachi on Iwo Jima in 1944.
",False,"['#Q The American Flag was raised on Mount Surabachi on Iwo Jima in 1944.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q What U.S. President gave a speech beginning with the phrase Four score and seven years ago?\n']"
"#Q What U.S. President gave a speech beginning with the phrase Four score and seven years ago?
",Abraham Lincoln,"['#Q What U.S. President gave a speech beginning with the phrase Four score and seven years ago?\n'
 '^ Abraham Lincoln\n' 'A Ronald Reagan\n' 'B Theodore Roosevelt\n'
 'C George Washington\n' 'D Abraham Lincoln\n']"
"#Q Which of these is one of the reasons why the United States entered World War I?
",Germany tried to persuade Mexico to enter the war.,"['#Q Which of these is one of the reasons why the United States entered World War I?\n'
 '^ Germany tried to persuade Mexico to enter the war.\n'
 'A Mexico attacked the United States.\n' 'B France lost the war.\n'
 'C Germany tried to persuade Mexico to enter the war.\n'
 'D Germany asked the United States.\n']"
"#Q Under whose administration did the United States send large numbers of troops to Vietnam?
",Lyndon Johnson,"['#Q Under whose administration did the United States send large numbers of troops to Vietnam?\n'
 '^ Lyndon Johnson\n' 'A John Kennedy\n' 'B Richard Nixon\n'
 'C Gerald Ford\n' 'D Lyndon Johnson\n']"
"#Q In 221 BC Zheng of the Qin Dynasty defeated the last independent Chinese state, the State of Qi, and thus unified China. The same year he named himself Shi Huangdi, which means this.
",First Emperor,"['#Q In 221 BC Zheng of the Qin Dynasty defeated the last independent Chinese state, the State of Qi, and thus unified China. The same year he named himself Shi Huangdi, which means this.\n'
 '^ First Emperor\n' 'A The Conqueror\n' 'B Mightiest One\n'
 'C First Emperor\n' 'D The Unifier\n']"
"#Q The name of the first capital of the Empire, near which the tomb of the first Chinese emperor- Qin Shi Huang had been built.
",Xianyang,"['#Q The name of the first capital of the Empire, near which the tomb of the first Chinese emperor- Qin Shi Huang had been built.\n'
 '^ Xianyang\n' 'A Xianyang\n' 'B Changan\n' 'C Sui\n' 'D Shaanxi\n']"
"#Q The Qin Dynasty was the first dynasty to embrace Confucianism.
",False,"['#Q The Qin Dynasty was the first dynasty to embrace Confucianism.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q This Silk Road  dynasty succeeded the Qin Dynasty.\n']"
"#Q This Silk Road  dynasty succeeded the Qin Dynasty.
",Han Dynasty,"['#Q This Silk Road  dynasty succeeded the Qin Dynasty.\n'
 '^ Han Dynasty\n' 'A Zhou Dynasty\n' 'B Ming Dynasty\n' 'C Sui Dynasty\n'
 'D Han Dynasty\n']"
"#Q On 18 June 618, Gaozu took the throne, established the Tang Dynasty and opened a new age of prosperity. During the Tang Dynasty, this religion became predominant in China.
",Buddhism,"['#Q On 18 June 618, Gaozu took the throne, established the Tang Dynasty and opened a new age of prosperity. During the Tang Dynasty, this religion became predominant in China.\n'
 '^ Buddhism\n' 'A Christianity\n' 'B Hinduism\n' 'C Islam\n'
 'D Buddhism\n']"
"#Q The Song Dynasty (960-1279) ruled over all of the territories of China.
",False,"['#Q The Song Dynasty (960-1279) ruled over all of the territories of China.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q The Yuan Dynasty was the first foreign dynasty to rule over all of China. It was officially established by this Mongolian ruler in 1271 and ruled over China until 1368.\n']"
