question,answer,qA
"#Q Gerald Bull took part in another supergun program - project Babylon. He supplied the plans for a series of gigantic guns, but fortunately only one of them (the smallest one) was completed. This person commissioned the project.
",Saddam Hussein,"['#Q Gerald Bull took part in another supergun program - project Babylon. He supplied the plans for a series of gigantic guns, but fortunately only one of them (the smallest one) was completed. This person commissioned the project.\n'
 '^ Saddam Hussein\n' 'A William Clinton\n' 'B Saddam Hussein\n'
 'C Slobodan Milosevic\n' 'D Yasser Arafat\n']"
"#Q The 1990s introduced us all to grunge music. Which popular grunge band are known for their 1994 song Black Hole Sun?
",Soundgarden,"['#Q The 1990s introduced us all to grunge music. Which popular grunge band are known for their 1994 song Black Hole Sun?\n'
 '^ Soundgarden\n' 'A Alice in Chains\n' 'B Nirvana\n' 'C Soundgarden\n'
 'D Pearl Jam\n']"
"#Q On what cartoon from the 90s did we meet the characters Tommy, Angelica, and Chuckie?
",Rugrats,"['#Q On what cartoon from the 90s did we meet the characters Tommy, Angelica, and Chuckie?\n'
 '^ Rugrats\n' 'A Animaniacs\n' 'B Hey Arnold!\n' 'C Rugrats\n'
 'D Rockos Modern Life\n']"
"#Q John Gray wrote the popular book Men Are From Mars, Women Are From Venus.
",True,"['#Q John Gray wrote the popular book Men Are From Mars, Women Are From Venus.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q This independent horror film tells the story of 3 student filmmakers who get lost in the woods and are tormented by a legend witch.\n']"
"#Q This independent horror film tells the story of 3 student filmmakers who get lost in the woods and are tormented by a legend witch.
",The Blair Witch Project,"['#Q This independent horror film tells the story of 3 student filmmakers who get lost in the woods and are tormented by a legend witch.\n'
 '^ The Blair Witch Project\n' 'A The Amityville Curse\n' 'B Bad Moon\n'
 'C Army of Darkness\n' 'D The Blair Witch Project\n']"
"#Q On August 12 of this year, the Major League Baseball players went on strike which resulted in the cancellation of the World Series.
",1994,"['#Q On August 12 of this year, the Major League Baseball players went on strike which resulted in the cancellation of the World Series.\n'
 '^ 1994\n' 'A 1991\n' 'B 1993\n' 'C 1994\n' 'D 1996\n']"
"#Q In what year did the popular sitcom, Friends, first air?
",1994,"['#Q In what year did the popular sitcom, Friends, first air?\n'
 '^ 1994\n' 'A 1994\n' 'B 1992\n' 'C 1993\n' 'D 1995\n']"
"#Q Which movie star was featured in the only movie about the Vietnam War that was made during the war?
",John Wayne,"['#Q Which movie star was featured in the only movie about the Vietnam War that was made during the war?\n'
 '^ John Wayne\n' 'A John Wayne\n' 'B Forest Whitaker\n' 'C Tom Cruise\n'
 'D Tom Berenger\n']"
"#Q This Hollywood veteran played Sgt. Muldoon in a 1968 movie about the war in Vietnam.
",Aldo Ray,"['#Q This Hollywood veteran played Sgt. Muldoon in a 1968 movie about the war in Vietnam.\n'
 '^ Aldo Ray\n' 'A Jim Hutton\n' 'B Tim Hutton\n' 'C Aldo Ray\n'
 'D R. Lee Ermey\n']"
"#Q This 1978 movie was about a group of American soldiers who went to fight in Vietnam. They could get out of combat if they threw a soccer match, but they refused to do so.
",The Boys in Company C,"['#Q This 1978 movie was about a group of American soldiers who went to fight in Vietnam. They could get out of combat if they threw a soccer match, but they refused to do so.\n'
 '^ The Boys in Company C\n' 'A Full Metal Jacket\n' 'B Pork Chop Hill\n'
 'C Hamburger Hill\n' 'D The Boys in Company C\n']"
"#Q This actor, who starred in the movie Good Morning, Vietnam, also acted in the TV series Walker: Texas Ranger.
",Noble Willingham,"['#Q This actor, who starred in the movie Good Morning, Vietnam, also acted in the TV series Walker: Texas Ranger.\n'
 '^ Noble Willingham\n' 'A Chuck Norris\n' 'B Noble Willingham\n'
 'C R. Lee Ermey\n' 'D John McGinty\n']"
"#Q Which Vietnam movie featured Tom Cruise, Tom Berenger and Willem Dafoe?
",Born on the Fourth of July,"['#Q Which Vietnam movie featured Tom Cruise, Tom Berenger and Willem Dafoe?\n'
 '^ Born on the Fourth of July\n' 'A Full Metal Jacket\n'
 'B Born on the Fourth of July\n' 'C Platoon\n' 'D Hamburger Hill\n']"
"#Q Who directed the 1986 movie Platoon?
",Oliver Stone,"['#Q Who directed the 1986 movie Platoon?\n' '^ Oliver Stone\n'
 'A Oliver Stone\n' 'B Willem Dafoe\n' 'C Brian DePalma\n'
 'D Tom Berenger\n']"
"#Q The  main actors in Platoon had to go through a 14-day military boot camp.
",True,"['#Q The  main actors in Platoon had to go through a 14-day military boot camp.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q Who directed the 1989 movie Casualties of War?\n']"
"#Q Who directed the 1989 movie Casualties of War?
",Brian DePalma,"['#Q Who directed the 1989 movie Casualties of War?\n' '^ Brian DePalma\n'
 'A Brian DePalma\n' 'B Oliver Stone\n' 'C Stanley Kubrick\n'
 'D Ray Kellogg\n']"
"#Q Who directed the 1987 film Full Metal Jacket?
",Stanley Kubrick,"['#Q Who directed the 1987 film Full Metal Jacket?\n'
 '^ Stanley Kubrick\n' 'A Oliver Stone\n' 'B Roy Kovic\n'
 'C Stanley Kubrick\n' 'D Brian DePalma\n']"
"#Q For his role as Pvt. Pyle in Full Metal Jacket, Vincent DOnofrio, had to gain 70 pounds. This broke the previous record for weight gained by a featured actor for a role. Who had held this record?
",Robert De Niro,"['#Q For his role as Pvt. Pyle in Full Metal Jacket, Vincent DOnofrio, had to gain 70 pounds. This broke the previous record for weight gained by a featured actor for a role. Who had held this record?\n'
 '^ Robert De Niro\n' 'A Marlon Brando\n' 'B John Wayne\n'
 'C Robert De Niro\n' 'D Al Pacino\n']"
"#Q This 1989 movie was about an injured Vietnam War veteran who became an anti-war protester.
",Born on the Fourth of July,"['#Q This 1989 movie was about an injured Vietnam War veteran who became an anti-war protester.\n'
 '^ Born on the Fourth of July\n' 'A Full Metal Jacket\n'
 'B Hamburger Hill\n' 'C Born on the Fourth of July\n'
 'D Casualties of War\n']"
"#Q Which of these movies did not feature R. Lee Ermey?
",Platoon,"['#Q Which of these movies did not feature R. Lee Ermey?\n' '^ Platoon\n'
 'A Full Metal jacket\n' 'B Apocalypse Now\n' 'C The Boys in Company C\n'
 'D Platoon\n']"
"#Q Who directed the 1979 movie Apocalypse Now?
",Francis Ford Coppola,"['#Q Who directed the 1979 movie Apocalypse Now?\n'
 '^ Francis Ford Coppola\n' 'A Francis Ford Coppola\n' 'B Oliver Stone\n'
 'C Brian DePalma\n' 'D Stanley Kubrick\n']"
"#Q The Orient Express, a long-distance passenger train that has become a synonym with luxury travel, made its first run on October 4, 1883. This was the final destination of its first route.
",Istanbul,"['#Q The Orient Express, a long-distance passenger train that has become a synonym with luxury travel, made its first run on October 4, 1883. This was the final destination of its first route.\n'
 '^ Istanbul\n' 'A Viena\n' 'B Ankara\n' 'C Ruse\n' 'D Istanbul\n']"
"#Q On October 7, 1982,  this show made its debut in Broadway at the Winter Garden Theatre. It eventually closed after nearly 18 years on September 10, 2000.
",Cats,"['#Q On October 7, 1982,  this show made its debut in Broadway at the Winter Garden Theatre. It eventually closed after nearly 18 years on September 10, 2000.\n'
 '^ Cats\n' 'A Aida\n' 'B The Phantom of the Opera\n' 'C Cats\n'
 'D Sunset Boulevard\n']"
"#Q The Great Chicago Fire, one of the worst disasters of the nineteenth century, started on October 8, 1871. The fire destroyed approximately 17,450 buildings, killed 250 people and left another 90,000 homeless, before it was extinguished on this date.
",October 10,"['#Q The Great Chicago Fire, one of the worst disasters of the nineteenth century, started on October 8, 1871. The fire destroyed approximately 17,450 buildings, killed 250 people and left another 90,000 homeless, before it was extinguished on this date.\n'
 '^ October 10\n' 'A October 24\n' 'B October 10\n' 'C October 14\n'
 'D October 18\n']"
"#Q On October 11, 1968, NASA launched Apollo 7, the first manned Apollo mission.
",True,"['#Q On October 11, 1968, NASA launched Apollo 7, the first manned Apollo mission.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q On October 16, 1978, the Papal Conclave elected Karol JÃ³zef WojtyÅ‚a, who became known as Pope John Paul II. How old was he when this happened?\n']"
"#Q On October 16, 1978, the Papal Conclave elected Karol JÃ³zef WojtyÅ‚a, who became known as Pope John Paul II. How old was he when this happened?
",58,"['#Q On October 16, 1978, the Papal Conclave elected Karol JÃ³zef WojtyÅ‚a, who became known as Pope John Paul II. How old was he when this happened?\n'
 '^ 58\n' 'A 48\n' 'B 68\n' 'C 38\n' 'D 58\n']"
"#Q On October 18, 1968,  a police raid on John Lennon and Yoko Onos apartment revealed 168 grams of marijuana. This is what happened to Lennon and Ono as a result.
",They plead guilty and were fined Â£150,"['#Q On October 18, 1968,  a police raid on John Lennon and Yoko Onos apartment revealed 168 grams of marijuana. This is what happened to Lennon and Ono as a result.\n'
 '^ They plead guilty and were fined Â£150\n'
 'A The evidence mysteriously disappeared and the case was dismissed\n'
 'B They were found guilty and were sent to prison\n'
 'C They were found not guilty and released, due to Lennons great contribution to British music\n'
 'D They plead guilty and were fined Â£150\n']"
"#Q What year did the Holocaust begin?
",1933,"['#Q What year did the Holocaust begin?\n' '^ 1933\n' 'A 1929\n'
 'B 1945\n' 'C 1946\n' 'D 1933\n']"
"#Q Holocaust is a Greek word, originally meaning sacrifice by fire.
",True,"['#Q Holocaust is a Greek word, originally meaning sacrifice by fire.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q Not only Jews were targeted by Hitler, but also the Gypsies and the mentally and physically disable.\n']"
"#Q Not only Jews were targeted by Hitler, but also the Gypsies and the mentally and physically disable.
",True,"['#Q Not only Jews were targeted by Hitler, but also the Gypsies and the mentally and physically disable.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q Beginning with racially discriminatory laws in Germany, the Nazi campaign expanded to the mass murder of a great part of European Jews.\n']"
"#Q Beginning with racially discriminatory laws in Germany, the Nazi campaign expanded to the mass murder of a great part of European Jews.
",True,"['#Q Beginning with racially discriminatory laws in Germany, the Nazi campaign expanded to the mass murder of a great part of European Jews.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q The armed uprising in the Warsaw ghetto in April-May 1943 was one of the most forceful Jewish uprising in the organized resistance to the Nazis.\n']"
"#Q The armed uprising in the Warsaw ghetto in April-May 1943 was one of the most forceful Jewish uprising in the organized resistance to the Nazis.
",True,"['#Q The armed uprising in the Warsaw ghetto in April-May 1943 was one of the most forceful Jewish uprising in the organized resistance to the Nazis.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q Although the Warsaw Ghetto Uprising wasnt successful, it was the first significant uprising in German-occupied Europe during WW II.\n']"
"#Q Although the Warsaw Ghetto Uprising wasnt successful, it was the first significant uprising in German-occupied Europe during WW II.
",True,"['#Q Although the Warsaw Ghetto Uprising wasnt successful, it was the first significant uprising in German-occupied Europe during WW II.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q Who is widely recognized as the leader of the Warsaw Ghetto Uprising during WW II?\n']"
"#Q Who is widely recognized as the leader of the Warsaw Ghetto Uprising during WW II?
",Mordechai Anielewicz,"['#Q Who is widely recognized as the leader of the Warsaw Ghetto Uprising during WW II?\n'
 '^ Mordechai Anielewicz\n' 'A Mordechai Anielewicz\n'
 'B Chaim Rumkowski\n' 'C Henry Morgentaler\n' 'D Hilary Minc\n']"
"#Q During WW II, Polish-Jewish industrialist Chaim Rumkowski was the leader of the Lodz Ghetto.
",True,"['#Q During WW II, Polish-Jewish industrialist Chaim Rumkowski was the leader of the Lodz Ghetto.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q At the end of the Nazi rule, Hitler expressed his sincere regret for all the deaths he and his subordinates had caused during the Holocaust.\n']"
"#Q At the end of the Nazi rule, Hitler expressed his sincere regret for all the deaths he and his subordinates had caused during the Holocaust.
",False,"['#Q At the end of the Nazi rule, Hitler expressed his sincere regret for all the deaths he and his subordinates had caused during the Holocaust.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q Which of the following was the first Roman emperor to convert to Christianity in 313 AD?\n']"
"#Q Which of the following was the first Roman emperor to convert to Christianity in 313 AD?
",Constantine,"['#Q Which of the following was the first Roman emperor to convert to Christianity in 313 AD?\n'
 '^ Constantine\n' 'A Constantine\n' 'B Marcus Aurelius\n' 'C Nerva\n'
 'D Commodus\n']"
"#Q Which writer witnessed the eruption of Mt. Vesuvius in 79 AD?
",Pliny the Younger,"['#Q Which writer witnessed the eruption of Mt. Vesuvius in 79 AD?\n'
 '^ Pliny the Younger\n' 'A Pliny the Younger\n' 'B Pompey the Great\n'
 'C Plautus\n' 'D Plutarch\n']"
