Problem,Rationale,options,correct,annotated_formula,linear_formula,category
"can c and can в are both right circular cylinders . the radius of can c is twice the radius of can b , while the height of can c is half the height of can b . if it costs $ 4.00 to fill half of can b with a certain brand of gasoline , how much would it cost to completely fill can c with the same brand of gasoline ?","let x be the radius of b and 2 h be the height of b . therefore , radius of c = 2 x and height = h vol of b = 3.14 * x ^ 2 * 2 h vol of a = 3.14 * 4 x ^ 2 * h cost to fill half of b = $ 4 - - > cost to fill full b = $ 8 - - > 3.14 * x ^ 2 * 2 h = 8 - - > 3.14 * x ^ 2 * h = 4 - - > 4 * ( 3.14 * x ^ 2 * h ) = $ 16 ans e","a ) $ 1 , b ) $ 2 , c ) $ 4 , d ) $ 8 , e ) $ 16",e,"multiply(multiply(const_2, 4), const_2)","multiply(n0,const_2)|multiply(#0,const_2)",geometry
"a certain family has 3 sons : richard is 6 years older than david , and david is 8 years older than scott . if in 8 years , richard will be twice as old as scott , then how old was david 3 years ago ?","""let ' s say age of richard is ` ` r ' ' age of david is ` ` d ' ' age of scott is ` ` s ' ' now richard is 6 years older than david , i . e . r = d + 6 david is 8 years older than scott i . e . d = s + 8 if in 8 years , richard will be twice as old as scott i . e . r + 8 = 2 x ( s + 8 ) i . e . r + 8 = 2 s + 16 i . e . r = 2 s + 8 but r = d + 6 = ( s + 8 ) + 6 = s + 14 therefore , 2 s + 8 = s + 14 i . e . s = 6 i . e . r = 20 i . e . d = 14 now , how old was david 3 years ago ? i . e . d - 4 = 14 - 3 = 11 years answer : a""","a ) 11 , b ) 10 , c ) 12 , d ) 14 , e ) 16",a,"subtract(add(6, 8), 3)","add(n1,n2)|subtract(#0,n4)|",general
"6 years ago , the ratio of the ages of vimal and saroj was 6 : 5 . 4 years hence , the ratio of their ages will be 11 : 10 . what is saroj ' s age at present ?","given that , six years ago , the ratio of the ages of vimal and saroj = 6 : 5 hence we can assume that age of vimal six years ago = 6 x age of saroj six years ago = 5 x after 4 years , the ratio of their ages = 11 : 10 ⇒ ( 6 x + 10 ) : ( 5 x + 10 ) = 11 : 10 ⇒ 10 ( 6 x + 10 ) = 11 ( 5 x + 10 ) ⇒ 5 x = 10 ⇒ x = 105 = 2 saroj ' s present age = ( 5 x + 6 ) = 5 × 2 + 6 = 16 answer is c .","a ) 12 , b ) 14 , c ) 16 , d ) 18 , e ) 15",c,"add(multiply(5, divide(subtract(multiply(11, 10), multiply(const_10, 10)), subtract(multiply(10, 6), multiply(11, 5)))), 6)","multiply(n4,n5)|multiply(n5,const_10)|multiply(n0,n5)|multiply(n2,n4)|subtract(#0,#1)|subtract(#2,#3)|divide(#4,#5)|multiply(n2,#6)|add(n0,#7)",other
"a boat can travel with a speed of 13 km / hr in still water . if the speed of the stream is 5 km / hr , find the time taken by the boat to go 70 km downstream .","""speed of boat in still water = 13 km / hr speed of the stream = 5 km / hr speed downstream = ( 13 + 5 ) = 18 km / hr time taken to travel 70 km downstream = 70 â  „ 18 = 3.8 hours answer is b""","a ) 4.25 hr , b ) 3.8 hr , c ) 8.25 hr , d ) 2.25 hr , e ) 2.50 hr",b,"divide(70, add(13, 5))","add(n0,n1)|divide(n2,#0)|",physics
"if 60 % of ( x - y ) = 20 % of ( x + y ) , then what percent of x is y ?","""60 % of ( x - y ) = 20 % of ( x + y ) 60 / 100 ( x - y ) = 20 / 100 ( x + y ) 4 x = 8 y required percentage = y / x * 100 = 4 y / 8 y * 100 = 50 % answer is a""","a ) 50 % , b ) 44.4 % , c ) 22.2 % , d ) 33.3 % , e ) 25 %",a,"multiply(divide(subtract(60, 20), add(60, 20)), const_100)","add(n0,n1)|subtract(n0,n1)|divide(#1,#0)|multiply(#2,const_100)|",general
"a and b undertake to do a piece of work for rs . 600 . a alone can do it in 6 days while b alone can do it in 8 days . with the help of c , they finish it in 3 days . ! find the share of each .","c ' s 1 day ' s work = 1 / 3 - ( 1 / 6 + 1 / 8 ) = 24 a : b : c = ratio of their 1 day ' s work = 1 / 6 : 1 / 8 : 1 / 24 = 4 : 3 : 1 . a ’ s share = rs . ( 600 * 4 / 8 ) = rs . 300 , b ' s share = rs . ( 600 * 3 / 8 ) = rs . 225 . c ' s share = rs . [ 600 - ( 300 + 225 » ) = rs . 75 . answer is c","a ) 25 , b ) 50 , c ) 75 , d ) 80 , e ) none of them",c,"multiply(divide(const_1, add(add(const_4, const_3), const_1)), 600)","add(const_3,const_4)|add(#0,const_1)|divide(const_1,#1)|multiply(n0,#2)",physics
"how many even integers n , such that 20 < = n < = 220 are of the form 3 k + 4 , where k is any natural number ?","""the first number is 22 = 16 + 6 ( 1 ) . we can continue adding 6 to make a list : 22 , 28 , 34 , . . . the last number is 220 = 16 + 6 ( 34 ) there are 34 numbers in the list . the answer is c .""","a ) 28 , b ) 31 , c ) 34 , d ) 37 , e ) 40",c,"add(divide(subtract(subtract(220, const_2), add(20, const_2)), add(const_2, 4)), const_1)","add(n0,const_2)|add(const_2,n3)|subtract(n1,const_2)|subtract(#2,#0)|divide(#3,#1)|add(#4,const_1)|",general
"the edges of three metal cubes are 1 cm , 3 cm , and 4 cm respectively . a new cube is made by melting these three cubes together . what is the edge of the new cube ( in centimeters ) ?",the total volume is 1 ^ 3 + 3 ^ 3 + 4 ^ 3 = 92 the edge of the new cube is the cube root of 92 which is about 4.5 cm . the answer is c .,"a ) 3.9 , b ) 4.2 , c ) 4.5 , d ) 4.8 , e ) 5.1",c,"power(add(power(4, const_3), add(1, power(3, const_3))), const_0_33)","power(n1,const_3)|power(n2,const_3)|add(n0,#0)|add(#2,#1)|power(#3,const_0_33)",physics
an inspector rejects 10 % of the meters as defective . how many will he examine to reject 12 ?,"""then , 10 % of x = 12 ( 10 / 100 ) x = 12 x = ( 12 * 100 * ) / 10 = 120 answer is b""","a ) a ) 100 , b ) b ) 120 , c ) c ) 250 , d ) d ) 200 , e ) e ) 160",b,"divide(multiply(12, const_100), 10)","multiply(n1,const_100)|divide(#0,n0)|",gain
"a survey was sent to 60 customers , 7 of whom responded . then the survey was redesigned and sent to another 72 customers , 9 of whom responded . by approximately what percent did the response rate increase from the original survey to the redesigned survey ?","""rate of first survey = 7 / 60 rate of second survey = 9 / 72 % response rate increase ( 9 / 72 - 7 / 60 ) / ( 7 / 60 ) = 7 % answer is b = 7 %""","a ) 2 % , b ) 7 % , c ) 14 % , d ) 28 % , e ) 63 %",b,"floor(multiply(subtract(divide(9, 72), divide(7, 60)), const_100))","divide(n3,n2)|divide(n1,n0)|subtract(#0,#1)|multiply(#2,const_100)|floor(#3)|",gain
"if the sides of a square are multiplied by 5 , the area of the original square is how many times as large as the area of the resultant square ?","""let x be the original length of one side . then the original area is x ^ 2 . the new square has sides of length 5 x , so the area is 25 x ^ 2 . the area of the original square is 1 / 25 = 4 % times the area of the new square . the answer is a .""","a ) 4 % , b ) 25 % , c ) 50 % , d ) 200 % , e ) 400 %",a,"divide(multiply(5, 5), const_100)","multiply(n0,n0)|divide(#0,const_100)|",geometry
car a runs at the speed of 50 km / hr & reaches its destination in 6 hr . car b runs at the speed of 100 km / h & reaches its destination in 1 h . what is the respective ratio of distances covered by car a & car b ?,"""sol . distance travelled by car a = 50 × 6 = 300 km distance travelled by car b = 100 × 1 = 100 km ratio = 300 / 100 = 3 : 1 answer : b""","a ) 11 : 5 , b ) 3 : 1 , c ) 13 : 7 , d ) 15 : 7 , e ) 16 : 9",b,"divide(multiply(50, 6), multiply(100, 1))","multiply(n0,n1)|multiply(n2,n3)|divide(#0,#1)|",physics
a cubical block of metal weighs 8 pounds . how much will another cube of the same metal weigh if its sides are twice as long ?,"""for example our cube have a side 1 meter , so we have 1 cubical meter in this cube and this cubical meter weigth 6 pounds if we take cube with side 2 meters we will have 8 cubical meters in this cube 8 meters * 8 pounds = 64 pounds so answer is e and similar but more theoretical approach : if we have sides a and b than they have equal ration with their areas : a / b = a ^ 2 / b ^ 2 and they have equal ration with their volumes : a / b = a ^ 3 / b ^ 3 we have two sides 1 / 2 so their volume will be in ratio 1 / 8 weight of one cube * volume of another cube 8 * 8 = 64 so answer is e""","a ) 48 , b ) 32 , c ) 24 , d ) 18 , e ) 64",e,"multiply(8, multiply(const_2, const_4))","multiply(const_2,const_4)|multiply(n0,#0)|",geometry
"of the final grades received by the students in a certain math course , 1 / 5 are a ' s , 1 / 4 are b ' s , 1 / 2 are c ' s , and the remaining 20 grades are d ' s . what is the number of students in the course ?","""we start by creating a variable for the total number of students in the math course . we can say : t = total number of students in the math course next , we can use variable t in an equation that we translate from the given information . we are given that , of the final grades received by the students in a certain math course , 1 / 5 are a ' s , 1 / 4 are b ' s , 1 / 2 are c ' s , and the remaining 20 grades are d ' s . since this represents all the grades in the class , it represents all the students in the class . thus we know : # a ’ s + # b ’ s + # c ’ s + # d ’ s = total number of students in the class 1 / 5 ( t ) + ¼ ( t ) + ½ ( t ) + 20 = t we can multiply the entire equation by 20 to cancel out the denominators of the fractions and we have : 4 t + 5 t + 10 t + 400 = 20 t 19 t + 400 = 20 t 400 = t there are a total of 400 students in the math class . answer is e .""","a ) 80 , b ) 110 , c ) 160 , d ) 200 , e ) 400",e,"divide(20, subtract(1, add(add(divide(1, 5), divide(1, 4)), divide(1, 2))))","divide(n0,n1)|divide(n0,n3)|divide(n0,n5)|add(#0,#1)|add(#3,#2)|subtract(n0,#4)|divide(n6,#5)|",general
how many pieces of 0.85 meteres can be cut from a rod 42.5 meteres long,"explanation : we need so simple divide 42.5 / 0.85 , = ( 4250 / 85 ) = 50 option c","a ) 30 , b ) 40 , c ) 50 , d ) 60 , e ) 70",c,"divide(42.5, 0.85)","divide(n1,n0)",physics
"ratio between rahul and deepak is 5 : 2 , after 6 years rahul age will be 26 years . what is deepak present age .","""explanation : present age is 5 x and 2 x , = > 5 x + 6 = 26 = > x = 4 so deepak age is = 2 ( 4 ) = 8 option c""","a ) 14 , b ) 15 , c ) 8 , d ) 22 , e ) 24",c,"divide(multiply(subtract(26, 6), 2), 5)","subtract(n3,n2)|multiply(n1,#0)|divide(#1,n0)|",other
"in what time will a train 400 m long cross an electric pole , it its speed be 144 km / hr ?","""speed = 144 * 5 / 18 = 40 m / sec time taken = 400 / 40 = 10.0 sec . answer : e""","a ) 2.5 sec , b ) 12.9 sec , c ) 11.3 sec , d ) 21.9 sec , e ) 10.0 sec",e,"divide(400, multiply(144, const_0_2778))","multiply(n1,const_0_2778)|divide(n0,#0)|",physics
set a consists of all the prime numbers between 62 and 85 . what is the range of set a ?,"the range of a set of data is the difference between the highest and lowest values in the set in this set , highest number = 83 lowest number = 67 range = highest - lowest = 83 - 67 = 16 option d","a ) 12 , b ) 13 , c ) 16.6 , d ) 16 , e ) 23",d,"subtract(subtract(85, const_2), add(add(62, const_4), const_1))","add(n0,const_4)|subtract(n1,const_2)|add(#0,const_1)|subtract(#1,#2)",general
"a fruit seller had some apples . he sells 60 % apples and still has 300 apples . originally , he had :","""a fruit seller had some apples . he sells 60 % apples and still has 300 apples . originally , he had : a . 656 apples b . 700 apples c . 750 apples d . 780 apples 800 apples answer : option d explanation : suppose originally he had x apples . then , ( 100 - 60 ) % of x = 300 . 40 / 100 x x = 300 100 x = ( 300 x 1000 ) / 40 = 750 . answer : c""","a ) 656 apples , b ) 700 apples , c ) 750 apples , d ) 780 apples , e ) 800 apples",c,"original_price_before_loss(60, 300)","original_price_before_loss(n0,n1)|",gain
"s ( n ) is a n - digit number formed by attaching the first n perfect squares , in order , into one integer . for example , s ( 1 ) = 1 , s ( 2 ) = 14 , s ( 3 ) = 149 , s ( 4 ) = 14916 , s ( 5 ) = 1491625 , etc . how many digits w are in s ( 99 ) ?","""focus on the points where the number of digits in squares change : 1 , 2 , 3 - single digit squares . first 2 digit number is 10 . 4 , 5 , . . . 9 - two digit squares . to get 9 , the last number with two digit square , think that first 3 digit number is 100 which is 10 ^ 2 . so 9 ^ 2 must be the last 2 digit square . 10 , 11 , 12 , . . . 31 - three digit squares . to get 31 , think of 1000 - the first 4 digit number . it is not a perfect square but 900 is 30 ^ 2 . 32 ^ 2 = 2 ^ 10 = 1024 , the first 4 digit square . 32 - 99 - four digit squares . to get 99 , think of 10,000 - the first 5 digit number which is 100 ^ 2 . so number of digits in s ( 99 ) = 3 * 1 + 6 * 2 + 22 * 3 + 68 * 4 = 3 + 12 + 66 + 272 = 353 . b""","a ) w = 350 , b ) w = 353 , c ) w = 354 , d ) 356 , e ) 357",b,"add(add(add(add(const_60, 4), 4), multiply(add(add(const_60, 4), 4), 4)), add(multiply(3, 1), multiply(multiply(3, 2), 2)))","add(n6,const_60)|multiply(n0,n4)|multiply(n2,n4)|add(n6,#0)|multiply(n2,#2)|add(#1,#4)|multiply(n6,#3)|add(#3,#6)|add(#7,#5)|",general
a candidate got 35 % of the votes and lost to the rival by 1650 votes . how many votes were cast ?,"""35 % - - - - - - - - - - - l 65 % - - - - - - - - - - - w - - - - - - - - - - - - - - - - - - 30 % = 1650 10 % = 550 100 % of the votes = 5500 answer : b""","a ) 5000 , b ) 5500 , c ) 6000 , d ) 6500 , e ) 7000",b,"divide(1650, subtract(subtract(const_1, divide(35, const_100)), divide(35, const_100)))","divide(n0,const_100)|subtract(const_1,#0)|subtract(#1,#0)|divide(n1,#2)|",gain
"a certain car traveled twice as many miles from town a to town b as it did from town b to town c . from town a to town b , the car averaged 8 miles per gallon , and from town b to town c , the car averaged 18 miles per gallon . what is the average miles per gallon that the car achieved on its trip from town a through town b to town c ?","""ans is b given d _ ab = 2 * d _ bc let d _ ab = d and d _ bc = x so d = 2 x for average miles per gallon = ( d + x ) / ( ( d / 8 ) + ( x / 18 ) ) = 15.5 ( formula avg speed = total distance / total time )""","a ) 13 , b ) 15.5 , c ) 14 , d ) 14.5 , e ) 15",b,"divide(add(multiply(18, const_10), divide(multiply(18, const_10), const_2)), add(divide(multiply(18, const_10), 8), divide(divide(multiply(18, const_10), const_2), 18)))","multiply(n1,const_10)|divide(#0,const_2)|divide(#0,n0)|add(#1,#0)|divide(#1,n1)|add(#2,#4)|divide(#3,#5)|",general
the total age of a and b is 10 years more than the total age of b and c . c is how many years younger than a . ?,"""( a + b ) - ( b - c ) = 10 a - c = 10 answer is c""","a ) 16 , b ) 12 , c ) 10 , d ) 20 , e ) 10",c,"multiply(10, const_1)","multiply(n0,const_1)|",general
"if the area of a circle is 25 pi square feet , find its circumference .","""the area is given by pi * r * r . hence pi * r * r = 25 pi r * r = 25 ; hence r = 25 feet the circumference is given by 2 * pi * r = 2 * pi * 5 = 10 pi feet correct answer a""","a ) 10 pi feet , b ) 28 pi feet , c ) 38 pi feet , d ) 48 pi feet , e ) 58 pi feet",a,circumface(sqrt(25)),sqrt(n0)|circumface(#0)|,geometry
"excluding stoppages , the speed of a train is 67 kmph and including stoppages it is 51 kmph . of how many minutes does the train stop per hour ?","""explanation : t = 16 / 67 * 60 = 14 answer : option c""","a ) 82 , b ) 17 , c ) 14 , d ) 82 , e ) 18",c,"subtract(const_60, multiply(const_60, divide(51, 67)))","divide(n1,n0)|multiply(#0,const_60)|subtract(const_60,#1)|",physics
"the sides of a square region , measured to the nearest centimeter , are 9 centimeters long . the least possible value of the actual area of the square region is","""though there might be some technicalities concerning the termnearest ( as 7.5 is equidistant from both 7 and 8 ) the answer still should be : 7.5 ^ 2 = 56.25 . answer : c""","a ) 60.25 sq cm , b ) 66.25 sq cm , c ) 56.25 sq cm , d ) 72.25 sq cm , e ) 58.25 sq cm",c,"power(subtract(subtract(9, const_0_25), const_0_25), const_2)","subtract(n0,const_0_25)|subtract(#0,const_0_25)|power(#1,const_2)|",geometry
the average runs of a cricket player of 8 innings was 24 . how many runs must he make in his next innings so as to increase his average of runs by 8 ?,"""explanation : average after 9 innings = 32 required number of runs = ( 32 * 9 ) – ( 24 * 8 ) = 288 – 192 = 96 answer d""","a ) 12 , b ) 42 , c ) 64 , d ) 96 , e ) 84",d,"subtract(multiply(add(8, const_1), add(24, 8)), multiply(24, 8))","add(n0,const_1)|add(n1,n2)|multiply(n0,n1)|multiply(#0,#1)|subtract(#3,#2)|",general
"if jack walked 4 miles in 1 hour and 15 minutes , what was his rate of walking in miles per hour ?",distance walked in 1 hour and 15 mins = 4 miles speed per hour = distance / time = 4 / ( 5 / 4 ) = 3.2 miles per hour answer a,"a ) 3.2 , b ) 4.5 , c ) 6 , d ) 6.25 , e ) 15",a,"divide(multiply(4, const_60), add(15, const_60))","add(n2,const_60)|multiply(n0,const_60)|divide(#1,#0)",physics
"yesterday it took robert 6 hours to drive from city a to city b . today it took robert 4.5 hours to drive back from city в to city a along the same route . if he had saved 30 minutes in both trips , the speed for the round trip would be 90 miles per hour . what is the distance between city a and city b ?",2 d / 90 = 9.5 ( because time = 6 + 4.5 - 1 hrs ) = > d = 430 answer - e,"a ) 90 , b ) 120 , c ) 150 , d ) 440 , e ) 430",e,"divide(multiply(90, subtract(add(6, 4.5), const_1)), const_2)","add(n0,n1)|subtract(#0,const_1)|multiply(n3,#1)|divide(#2,const_2)",physics
